,CODE_ARCHIVO,Latitud,Longitud,DPTO,MUNICIPIO,VARIEDAD,SIST_SIMPLE,FECHA_SIEMBRA,FECHA_EMERGENCIA,FECHA_COSECHA,ANO_COS,RENDIMIENTO_HA,ID,Cluster
668,RC,NA,NA,CASANARE,YOPAL,F174,SECANO,6/11/2015,,10/15/2015,2015,2812.5,RC79_2015_443,2
669,RC,NA,NA,CASANARE,YOPAL,F174,RIEGO,6/11/2015,,10/15/2015,2015,5812.5,RC79_2015_439,2
670,RC,NA,NA,CASANARE,YOPAL,F174,SECANO,6/16/2015,,10/20/2015,2015,3750,RC79_2015_449,2
671,RC,NA,NA,CASANARE,YOPAL,F174,SECANO,6/28/2015,,11/1/2015,2015,5887.1875,RC79_2015_466,2
672,RC,NA,NA,CASANARE,YOPAL,F174,SECANO,7/8/2015,,11/11/2015,2015,3308.4375,RC79_2015_474,2
673,RC,NA,NA,CASANARE,YOPAL,F174,Riego,10/29/2015,,3/3/2016,2016,5625,RC79_2016_522,6
674,RC,NA,NA,CASANARE,YOPAL,F2000,RIEGO,3/17/2015,,7/21/2015,2015,5917,RC79_2015_26,2
675,RC,NA,NA,CASANARE,YOPAL,F2000,0,4/2/2015,,8/6/2015,2015,5937.5,RC79_2015_54,2
676,RC,NA,NA,CASANARE,YOPAL,F2000,RIEGO,4/16/2015,,8/20/2015,2015,6875,RC79_2015_127,2
677,RC,NA,NA,CASANARE,YOPAL,F2000,SECANO,4/21/2015,,8/25/2015,2015,6125,RC79_2015_158,2
678,RC,NA,NA,CASANARE,YOPAL,F2000,SECANO,4/24/2015,,8/28/2015,2015,4687,RC79_2015_183,2
679,RC,NA,NA,CASANARE,YOPAL,F2000,SECANO,4/26/2015,,8/30/2015,2015,5062.5,RC79_2015_189,2
680,RC,NA,NA,CASANARE,YOPAL,F2000,RIEGO,4/26/2015,,8/30/2015,2015,5760,RC79_2015_188,2
681,RC,NA,NA,CASANARE,YOPAL,F2000,RIEGO,5/2/2015,,9/5/2015,2015,5468,RC79_2015_217,2
682,RC,NA,NA,CASANARE,YOPAL,F2000,SECANO,5/4/2015,,9/7/2015,2015,5001.86619,RC79_2015_231,2
683,RC,NA,NA,CASANARE,YOPAL,F2000,SECANO,5/5/2015,,9/8/2015,2015,4355,RC79_2015_236,2
684,RC,NA,NA,CASANARE,YOPAL,F2000,SECANO,5/6/2015,,9/9/2015,2015,4687,RC79_2015_244,2
685,RC,NA,NA,CASANARE,YOPAL,F2000,SECANO,5/7/2015,,9/10/2015,2015,5625,RC79_2015_255,2
686,RC,NA,NA,CASANARE,YOPAL,F2000,SECANO,5/12/2015,,9/15/2015,2015,4375,RC79_2015_294,2
687,RC,NA,NA,CASANARE,YOPAL,F2000,SECANO,5/13/2015,,9/16/2015,2015,5458.75,RC79_2015_296,2
688,RC,NA,NA,CASANARE,YOPAL,F2000,SECANO,5/14/2015,,9/17/2015,2015,4612.5,RC79_2015_302,2
689,RC,NA,NA,CASANARE,YOPAL,F2000,SECANO,5/16/2015,,9/19/2015,2015,2997.333333,RC79_2015_314,2
690,RC,NA,NA,CASANARE,YOPAL,F2000,SECANO,5/20/2015,,9/23/2015,2015,4200,RC79_2015_351,2
691,RC,NA,NA,CASANARE,YOPAL,F2000,SECANO,5/20/2015,,9/23/2015,2015,NA,RC79_2015_352,2
692,RC,NA,NA,CASANARE,YOPAL,F2000,SECANO,5/22/2015,,9/25/2015,2015,3715.5,RC79_2015_366,2
693,RC,NA,NA,CASANARE,YOPAL,F2000,SECANO,5/22/2015,,9/25/2015,2015,6250,RC79_2015_360,2
694,RC,NA,NA,CASANARE,YOPAL,F2000,SECANO,5/27/2015,,9/30/2015,2015,4775.625,RC79_2015_390,2
695,RC,NA,NA,CASANARE,YOPAL,F2000,RIEGO,6/1/2015,,10/5/2015,2015,6375,RC79_2015_409,2
696,RC,NA,NA,CASANARE,YOPAL,F2000,SECANO,6/2/2015,,10/6/2015,2015,4687.5,RC79_2015_419,2
697,RC,NA,NA,CASANARE,YOPAL,F2000,SECANO,6/8/2015,,10/12/2015,2015,5812.5,RC79_2015_433,2
698,RC,NA,NA,CASANARE,YOPAL,F2000,RIEGO,6/9/2015,,10/13/2015,2015,6223,RC79_2015_435,2
699,RC,NA,NA,CASANARE,YOPAL,F2000,RIEGO,6/11/2015,,10/15/2015,2015,6125,RC79_2015_437,2
700,RC,NA,NA,CASANARE,YOPAL,F2000,SECANO,6/18/2015,,10/22/2015,2015,5250,RC79_2015_451,2
701,RC,NA,NA,CASANARE,YOPAL,F2000,SECANO,6/26/2015,,10/30/2015,2015,5786.25,RC79_2015_463,2
702,RC,NA,NA,CASANARE,YOPAL,F2000,SECANO,7/6/2015,,11/9/2015,2015,2980.416667,RC79_2015_472,2
703,RC,NA,NA,CASANARE,YOPAL,F2000,Riego,8/30/2015,,1/3/2016,2016,7500,RC79_2016_530,6
704,RC,NA,NA,CASANARE,YOPAL,F2000,Riego,10/7/2015,,2/10/2016,2016,9375,RC79_2016_534,6
705,RC,NA,NA,CASANARE,YOPAL,F2000,Riego,10/9/2015,,2/12/2016,2016,8125,RC79_2016_535,6
706,RC,NA,NA,CASANARE,YOPAL,F2000,Riego,10/12/2015,,2/15/2016,2016,7625,RC79_2016_538,6
707,RC,NA,NA,CASANARE,YOPAL,F2000,Riego,10/17/2015,,2/20/2016,2016,7437,RC79_2016_536,6
708,RC,NA,NA,CASANARE,YOPAL,F2000,Riego,10/19/2015,,2/22/2016,2016,8125,RC79_2016_537,6
709,RC,NA,NA,CASANARE,YOPAL,F2000,Riego,11/7/2015,,3/12/2016,2016,6875,RC79_2016_519,6
710,RC,NA,NA,CASANARE,YOPAL,F67,SECANO,5/6/2015,,9/9/2015,2015,4677.054795,RC79_2015_245,2
711,RC,NA,NA,CASANARE,YOPAL,F67,SECANO,5/6/2015,,9/9/2015,2015,5277.35,RC79_2015_242,2
712,RC,NA,NA,CASANARE,YOPAL,F67,SECANO,5/7/2015,,9/10/2015,2015,5791.25,RC79_2015_254,2
